#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-19T17:09:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562523b078bd	
#INFO	-out.max=1000	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+AS/139/135&tab:{J/A+AS/139/135/table2}&key:source=J/A+AS/139/135/table2&HTTPPRM:&
#-source=J/A+AS/139/135/table2
#-order=I
#-out=LambdaMea
#-out=DeltaV
#-out=n_DeltaV
#-out=Int
#-out=Intc
#-out=n_Intc
#-out=Line
#-out=n_Line
#-out=LambdaLab
#-out=n_LambdaLab
#-out=Mult
#-out=F
#

#RESOURCE=yCat_41390135
#Name: J/A+AS/139/135
#Title: The Optical Spectrum of RR Tel (Crawford+ 1999)
#Table	J_A_AS_139_135_table2:
#Name: J/A+AS/139/135/table2
#Title: Line list for RR Telescopii, with absolute flux calibrated intensities shown, for the wavelength range 3490 - 5530{AA}
#Column	LambdaMea	(F7.2)	Measured wavelength	[ucd=]
#Column	DeltaV	(I3)	Velocity FWHM	[ucd=]
#Column	n_DeltaV	(A1)	[h] Note on DeltaV (2)	[ucd=]
#Column	Int	(F6.3)	Measured intensity	[ucd=]
#Column	Intc	(F6.3)	Corrected intensity (1)	[ucd=]
#Column	n_Intc	(A1)	[efgkl] Note on Intc (2)	[ucd=]
#Column	Line	(a8)	Identity of line	[ucd=]
#Column	n_Line	(A1)	[j] Note on line (3)	[ucd=]
#Column	LambdaLab	(F7.2)	Laboratory wavelength	[ucd=]
#Column	n_LambdaLab	(A1)	[bcgi] Note on labLam (2)	[ucd=]
#Column	Mult	(I3)	? Multiplet number [NULL integer written as an empty string]	[ucd=]
#Column	F	(A1)	[F] F: forbidden line	[ucd=]
LambdaMea;DeltaV;n_DeltaV;Int;Intc;n_Intc;Line;n_Line;LambdaLab;n_LambdaLab;Mult;F
4312.83; 11; ; 0.004; 0.006; ;TiII    ; ;4312.85;b; 41;
4314.27; 12; ; 0.020; 0.027; ;FeII    ; ;4314.29; ; 32;
4319.63; 16; ; 0.134; 0.180;f;[FeII]  ; ;4319.62;c; 21;F
4322.50; 42; ; 0.036; 0.049; ;NeII    ; ;4322.66; ; 63;
4326.45; 25; ; 0.023; 0.031; ;[NiII]  ; ;4326.28;c;  3;F
4338.69; 67; ; 0.884; 1.188; ;HeII    ; ;4338.67;b;  3;
4340.43; 63; ;13.100;17.600; ;Hgamma  ; ;4340.47;c;  1;
4343.87; 65; ; 0.047; 0.064; ;TiII    ; ;4344.29; ; 20;
4343.87; 65; ; 0.047; 0.064; ;MnII    ; ;4343.99; ;  6;
4346.82; 15; ; 0.066; 0.089; ;[FeII]  ; ;4346.85; ; 21;F
4349.40; 21; ; 0.007; 0.009; ;OII     ; ;4349.43;b;  2;
4351.76; 13; ; 0.137; 0.184; ;FeII    ; ;4351.76;b; 27;
4352.81; 20; ; 0.135; 0.181; ;[FeII]  ; ;4352.78; ; 21;F
4358.48; 15; ; 0.102; 0.137; ;[FeII]  ; ;4358.37; ; 21;F
4359.46; 13; ; 0.167; 0.224; ;[FeII]  ; ;4359.34;c;  7;F
4363.33; 39; ; 9.560;12.840; ;[OIII]  ; ;4363.21;b;  3;F
4366.88; 37; ; 0.007; 0.010; ;OII     ; ;4366.90; ;  2;
4366.88; 37; ; 0.007; 0.010; ;VII     ; ;4366.91; ; 36;
4368.27; 14; ; 0.023; 0.031; ;OI      ; ;4368.30; ;  5;
4369.38; 12; ; 0.015; 0.021; ;FeII    ; ;4369.40;c; 28;
4372.38; 16; ; 0.078; 0.105; ;[FeII]  ; ;4372.43;c; 21;F
4379.06; 34; ; 0.022; 0.030; ;NIII    ; ;4379.09;b; 17;
4382.72; 14; ; 0.024; 0.032;e;[FeII]  ; ;4382.75; ;  6;F
4383.37; 15; ; 0.010; 0.014; ;CIII    ; ;4383.24; ; 14;
4384.31; 12; ; 0.019; 0.026; ;FeII    ; ;4384.33; ; 32;
4385.38; 12; ; 0.036; 0.048; ;FeII    ; ;4385.38;c; 27;
4387.98; 29; ; 0.066; 0.089; ;HeI     ; ;4387.93;b; 51;
4395.22; 12; ; 0.023; 0.031; ;TiII    ; ;4395.03; ; 19;
4398.09; 86; ; 0.098; 0.132; ;NeII    ; ;4397.94; ; 56;
4399.79; 10; ; 0.005; 0.006; ;TiII    ; ;4399.77; ; 51;
4413.74; 14; ; 0.163; 0.219; ;[FeII]  ; ;4413.78;c;  7;F
4414.87; 13; ; 0.002; 0.003;f;OII     ; ;4414.91;b;  5;
4416.24; 15; ; 0.297; 0.399; ;[FeII]  ; ;4416.27;c;  6;F
4416.78; 17; ; 0.090; 0.121; ;FeII    ; ;4416.82; ; 27;
4424.86; 62; ; 0.039; 0.053; ;VII     ; ;4424.62; ; 30;
4425.59; 53; ; 0.024; 0.032;e;[FeV]   ; ;4426.34; ;   ;F
4426.77; 32; ; 0.012; 0.016; ;[FeV]   ; ;4426.34; ;   ;F
4432.49; 15; ; 0.019; 0.025; ;[FeII]  ; ;4432.45;c;  6;F
4434.64; 33; ; 0.006; 0.008; ;[FeII]  ; ;4435.08; ; 36;F
4437.53; 28; ; 0.012; 0.016; ;HeI     ; ;4437.55;b; 50;
4443.77; 11; ; 0.009; 0.012; ;TiII    ; ;4443.80; ; 19;
4444.49; 10; ; 0.001; 0.002; ;FeII    ; ;4444.56; ;201;
4446.29; 65; ; 0.035; 0.047; ;[NiVIII]; ;4446.20; ;  1;F
4448.06; 24; ; 0.004; 0.005; ;OII     ; ;4448.21;b; 35;
4450.48;  9; ; 0.005; 0.006; ;TiII    ; ;4450.49; ; 19;
4452.08; 13; ; 0.099; 0.132; ;[FeII]  ; ;4452.11;c;  7;F
4454.87; 61; ; 0.043; 0.058; ;CaI     ; ;4454.78; ;  4;
4458.01; 14; ; 0.139; 0.187; ;[FeII]  ; ;4457.95;c;  6;F
4465.43; 22; ; 0.004; 0.006; ;OII     ; ;4465.40;b; 94;
4466.56;  7; ; 0.007; 0.009; ;OII     ; ;4466.60; ; 86;
4468.53; 13; ; 0.025; 0.033; ;TiII    ; ;4468.48; ; 31;
4470.26; 20; ; 0.013; 0.017;e;VII     ; ;4470.39; ; 30;
4471.50; 33; ; 0.617; 0.829; ;HeI     ; ;4471.48; ; 14;
4472.91; 12; ; 0.017; 0.023; ;FeII    ; ;4472.92;c; 37;
4474.87; 14; ; 0.048; 0.065; ;[FeII]  ; ;4474.91;c;  7;F
4479.11; 54; ; 0.068; 0.091; ;[FeII]  ; ;4479.10; ;   ;F
4481.20; 26; ; 0.005; 0.007;e;MgII    ; ;4481.13;b;  4;
4481.20; 26; ; 0.005; 0.007;e;[MnIV]  ; ;4481.00; ;  2;F
4485.22; 17; ; 0.008; 0.011; ;[NiII]  ; ;4485.25; ;   ;F
4488.74; 17; ; 0.065; 0.087; ;[FeII]  ; ;4488.75;c;  6;F
4489.18; 13; ; 0.087; 0.116; ;FeII    ; ;4489.19; ; 37;
4491.44; 12; ; 0.079; 0.106; ;FeII    ; ;4491.40;c; 37;
4492.69; 15; ; 0.037; 0.050; ;[FeII]  ; ;4492.64; ;  6;F
4498.92; 70; ; 0.144; 0.193; ;NeII    ; ;4498.94; ; 64;
4501.36; 11; ; 0.011; 0.014; ;TiII    ; ;4501.27; ; 31;
4508.26; 12; ; 0.058; 0.078; ;FeII    ; ;4508.26;c;222;
4509.16; 28; ; 0.030; 0.040; ;SII     ; ;4509.00; ; 48;
4509.56; 24; ; 0.046; 0.062; ;[FeII]  ; ;4509.61; ;  6;F
4510.89; 47; ; 0.038; 0.051; ;NIII    ; ;4510.92;b;  3;
4510.89; 47; ; 0.038; 0.051; ;[KIV]   ; ;4510.93; ;  2;F
4514.85; 15; ; 0.033; 0.044; ;NIII    ; ;4514.89; ;  3;
4515.28; 12; ; 0.147; 0.198; ;FeII    ; ;4515.19;c; 20;
4516.74; 52; ; 0.079; 0.106; ;CIII    ; ;4516.93; ;  9;
4520.18; 13; ; 0.118; 0.159; ;FeII    ; ;4520.23;c; 37;
4522.61; 13; ; 0.076; 0.102; ;FeII    ; ;4522.63;c; 38;
4523.54; 30; ; 0.006; 0.008; ;NIII    ; ;4523.60; ;  3;
4528.44; 15; ; 0.016; 0.022; ;[FeII]  ; ;4528.39; ;  6;F
4533.15; 15; ; 0.005; 0.007; ;[FeII]  ; ;4533.00;c;  6;F
4534.34; 12; ; 0.027; 0.037; ;FeII    ; ;4534.17;c; 37;
4541.60; 59; ; 1.100; 1.478; ;HeII    ; ;4541.60; ;  2;
4548.39; 50; ; 0.010; 0.014; ;[MnIV]  ; ;4548.50; ;  2;F
4549.41; 13; ; 0.171; 0.230; ;FeII    ; ;4549.47;c; 38;
4552.57; 28; ; 0.006; 0.009; ;SiIII   ; ;4552.65; ;  2;
4555.84; 13; ; 0.179; 0.241; ;FeII    ; ;4555.89;c; 37;
4558.62; 12; ; 0.006; 0.007; ;CrII    ; ;4558.66; ; 44;
4563.84; 10; ; 0.004; 0.005; ;[MnIV]  ; ;4563.70; ;  2;F
4571.22; 18; ; 0.108; 0.145; ;MgI     ; ;4571.10;c;  1;
4571.22; 18; ; 0.108; 0.145; ;CrII    ; ;4571.24; ; 16;
4572.08; 18; ; 0.007; 0.010; ;TiII    ; ;4571.97; ; 82;
4576.38; 13; ; 0.058; 0.077; ;FeII    ; ;4576.33;c; 38;
4581.12; 15; ; 0.006; 0.008; ;[CrII]  ; ;4581.18; ;  3;F
4582.79; 12; ; 0.042; 0.056; ;FeII    ; ;4582.84; ; 37;
4583.78; 14; ; 0.261; 0.351; ;FeII    ; ;4583.83;c; 38;
4588.14; 10; ; 0.002; 0.003; ;NeII    ; ;4588.13; ; 68;
4589.88; 15; ; 0.002; 0.002; ;TiII    ; ;4589.96; ; 50;
4590.94; 30; ; 0.012; 0.016; ;OII     ; ;4590.97;b; 15;
4593.78; 10; ; 0.002; 0.003; ;CII     ; ;4593.47; ;   ;
4594.37; 14; ; 0.016; 0.022; ;CrII    ; ;4594.41; ;   ;
4594.37; 14; ; 0.016; 0.022; ;MnII    ; ;4594.44; ;   ;
4596.12; 20; ; 0.006; 0.008; ;FeIII   ; ;4596.09; ;   ;
4603.84; 61; ; 0.060; 0.081; ;NV      ; ;4603.83; ;  1;
4606.58; 41; ; 0.045; 0.060; ;[FeIII] ; ;4607.00; ;  3;F
4607.31; 56; ; 0.047; 0.063; ;[FeII]  ; ;4607.13;b;  3;F
4613.67; 57; ; 0.030; 0.040; ;OII     ; ;4613.67;b; 92;
4613.67; 57; ; 0.030; 0.040; ;NII     ; ;4613.87;b;  5;
4613.67; 57; ; 0.030; 0.040; ;SIII    ; ;4613.47; ; 10;
4618.76; 16; ; 0.005; 0.007; ;CrII    ; ;4618.83;c; 44;
4620.47; 12; ; 0.024; 0.032; ;FeII    ; ;4620.51;b; 38;
4623.12; 32; ; 0.019; 0.026; ;[CoII]  ; ;4623.10; ;   ;F
4625.35; 44; ; 0.104; 0.140; ;[ArV]   ; ;4625.54;b;  2;F
4627.95; 38; ; 0.014; 0.019; ;FeII    ; ;4627.86; ; 54;
4627.95; 38; ; 0.014; 0.019; ;NeII    ; ;4627.85; ; 73;
4629.28; 13; ; 0.174; 0.234; ;FeII    ; ;4629.34;c; 37;
4632.04; 41; ; 0.112; 0.150; ;FeII    ; ;4631.90; ;219;
4634.13; 30; ; 0.327; 0.439; ;NIII    ; ;4634.16;b;  2;
4639.00; 29; ; 0.013; 0.017; ;OII     ; ;4638.85; ;  1;
4639.74; 15; ; 0.055; 0.073; ;[FeII]  ; ;4639.68;c;  4;F
4640.72; 29; ; 0.625; 0.840; ;NIII    ; ;4640.64;b;  2;
4641.98; 34; ; 0.098; 0.132; ;NIII    ; ;4641.90;b;  2;
4641.98; 34; ; 0.098; 0.132; ;OII     ; ;4641.81;b;  1;
4647.45; 32; ; 0.067; 0.090; ;CIII    ; ;4647.46;b;  1;
4647.45; 32; ; 0.067; 0.090; ;[CrV]   ; ;4647.50; ;  3;F
4649.17; 26; ; 0.034; 0.046; ;OII     ; ;4649.14;b;  1;
4650.27; 24; ; 0.017; 0.023; ;CIII    ; ;4650.16;b;  1;
4650.83; 17; ; 0.002; 0.002;e;OII     ; ;4650.84;b;  1;
4651.95; 58; ; 0.050; 0.067; ;[CoVII] ; ;4652.20; ;  1;F
4654.34; 40; ; 0.013; 0.018; ;SiIV    ; ;4654.14; ;  7;
4658.33; 52; ; 0.397; 0.533; ;[FeIII] ; ;4658.10;b;  3;F
4658.33; 52; ; 0.397; 0.533; ;CIV     ; ;4658.64;b;  8;
4661.56; 24; ; 0.006; 0.008; ;OII     ; ;4661.64;b;  1;
4662.98; 14; ; 0.002; 0.002; ;[MnIV]  ; ;4662.70; ;  1;F
4663.64; 12; ; 0.007; 0.009; ;CIII    ; ;4663.53; ;  5;
4664.38; 14; ; 0.013; 0.017; ;[FeII]  ; ;4664.45;c;  4;F
4665.52; 35; ; 0.008; 0.010; ;CIII    ; ;4665.90; ;  5;
4666.70; 12; ; 0.026; 0.035; ;FeII    ; ;4666.75;b; 37;
4667.15; 55; ; 0.017; 0.023; ;[FeIII] ; ;4667.00; ;  3;F
4669.71; 64; ; 0.106; 0.142; ;[FeIII] ; ;4669.60; ;  3;F
4669.71; 64; ; 0.106; 0.142; ;OII     ; ;4669.53;b; 83;
4676.22; 41; ; 0.017; 0.023; ;OII     ; ;4676.23;b;  1;
4680.05; 43; ; 0.016; 0.021; ;NII     ; ;4679.71; ; 20;
4685.82; 60; ;24.580;33.030; ;HeII    ; ;4685.68;b;  1;
4690.31; 16; ; 0.008; 0.010; ;CrIV    ; ;4690.28; ;   ;
4696.19; 66; ; 0.095; 0.128; ;OII     ; ;4696.36;b;  1;
4698.71; 60; ; 0.588; 0.790; ;[FeVII] ; ;4699.00; ;  2;F
4701.74; 46; ; 0.182; 0.245; ;[FeIII] ; ;4701.62;b;  3;F
4707.11; 42; ; 0.008; 0.011; ;NIV     ; ;4707.31; ;   ;
4711.53; 82; ; 0.047; 0.064; ;[ArIV]  ; ;4711.39;b;  1;F
4713.18; 29; ; 0.118; 0.159; ;HeI     ; ;4713.14;c; 12;
4714.33; 42; ; 0.427; 0.574; ;[NeIV]  ; ;4714.28;b;  1;F
4715.79; 55; ; 0.125; 0.168; ;[NeIV]  ; ;4716.00; ;  1;F
4724.30; 45; ; 0.768; 1.032; ;[NeIV]  ; ;4724.15;b;  1;F
4725.72; 48; ; 0.556; 0.747; ;[NeIV]  ; ;4725.62;b;  1;F
4728.08; 14; ; 0.148; 0.199; ;[FeII]  ; ;4728.07;c;  4;F
4731.42; 11; ; 0.034; 0.046; ;FeII    ; ;4731.44;c; 43;
4734.12; 45; ; 0.071; 0.096; ;[FeIII] ; ;4733.93;b;  3;F
4740.25; 68; ; 0.276; 0.371; ;[ArIV]  ; ;4740.10;b;  1;F
4745.42; 16; ; 0.005; 0.007; ;[FeII]  ; ;4745.49;c; 20;F
4747.16; 21; ; 0.005; 0.007;e;[CoII]  ; ;4747.20; ;   ;F
4755.06; 49; ; 0.084; 0.112; ;[FeIII] ; ;4754.70;b;  3;F
4769.69; 45; ; 0.076; 0.102; ;[FeIII] ; ;4769.60;b;  3;F
4772.01; 13; ; 0.006; 0.008;e;[FeII]  ; ;4772.07;c;  4;F
4774.65; 14; ; 0.067; 0.090; ;[FeII]  ; ;4774.74;c; 20;F
4777.87; 50; ; 0.038; 0.052; ;[FeIII] ; ;4777.88;b;  3;F
4788.51; 47; ; 0.018; 0.025; ;[CrV]   ; ;4788.50; ;  3;F
4788.51; 47; ; 0.018; 0.025; ;NII     ; ;4788.13; ; 20;
4798.36; 14; ; 0.021; 0.028; ;[FeII]  ; ;4798.28; ;   ;F
4802.52; 24; ; 0.006; 0.008; ;SIII    ; ;4802.81; ;   ;
4805.52; 12; ; 0.007; 0.009; ;TiII    ; ;4805.11; ; 92;
4805.52; 12; ; 0.007; 0.009; ;CrII    ; ;4805.18; ; 92;
4814.45; 14; ; 0.273; 0.367; ;[FeII]  ; ;4814.55;c; 20;F
4824.02; 11; ; 0.008; 0.011; ;CrII    ; ;4824.13;c; 30;
4824.02; 11; ; 0.008; 0.011; ;SII     ; ;4824.07; ; 52;
4825.63; 10; ; 0.002; 0.003; ;FeII    ; ;4825.71; ; 30;
4833.14;  8; ; 0.004; 0.005; ;FeII    ; ;4833.21; ; 30;
4840.11; 12; ; 0.002; 0.002; ;FeII    ; ;4840.00; ; 30;
4846.94; 12; ; 0.005; 0.007; ;FeII    ; ;4846.92; ;   ;
4848.23; 11; ; 0.002; 0.003; ;CrII    ; ;4848.24; ; 30;
4849.91; 11; ; 0.002; 0.003;e;NeII    ; ;4849.40; ; 71;
4852.66; 14; ; 0.004; 0.006; ;[FeII]  ; ;4852.73;c; 20;F
4855.46; 13; ; 0.001; 0.002; ;FeII    ; ;4855.54; ; 25;
4859.28; 64; ; 1.360; 1.827; ;HeII    ; ;4859.32;b;  2;
4861.22; 67; ;22.740;30.550; ;Hbeta   ; ;4861.33;c;  1;
4865.69; 23; ; 0.006; 0.008; ;TiII    ; ;4865.62; ; 29;
4867.81; 41; ; 0.086; 0.115; ;[FeIV]  ; ;4868.00; ;   ;F
4868.96; 44; ; 0.034; 0.046; ;FeII    ; ;4868.82; ; 30;
4871.19; 12; ; 0.005; 0.007; ;[VII]   ; ;4871.43; ;  8;F
4874.44; 14; ; 0.066; 0.088; ;[FeII]  ; ;4874.49;c; 20;F
4881.37; 60; ; 0.029; 0.039; ;[FeIII] ; ;4881.00;b;  2;F
4881.37; 60; ; 0.029; 0.039; ;LiII    ; ;4881.30; ;  4;
4888.62; 26; ; 0.008; 0.010; ;[NiV]   ; ;4888.62; ;   ;F
4889.59; 14; ; 0.141; 0.189; ;[FeII]  ; ;4889.63;c;  4;F
4893.57; 66; ; 0.930; 1.250; ;[FeVII] ; ;4893.90;b;  2;F
4898.47; 14; ; 0.014; 0.019; ;VII     ; ;4898.64; ;   ;
4899.85; 31; ; 0.042; 0.056; ;[FeIV]  ; ;4900.05; ;   ;F
4901.77; 31; ; 0.006; 0.007; ;CrII    ; ;4901.65;c;190;
4903.05; 32; ; 0.051; 0.068; ;[FeIV]  ; ;4903.50; ;   ;F
4905.19; 14; ; 0.108; 0.145; ;[FeII]  ; ;4905.35;c; 20;F
4906.45; 36; ; 0.138; 0.185; ;[FeIV]b ; ;4906.70; ;   ;F
4914.79; 15; ; 0.010; 0.014; ;NI      ; ;4914.94; ;  9;
4918.03; 46; ; 0.058; 0.078; ;[FeIV]  ; ;4918.10; ;   ;F
4921.96; 30; ; 0.138; 0.185; ;HeI     ; ;4921.93;b; 48;
4923.98; 16; ; 0.095; 0.128; ;FeII    ; ;4923.92;c; 42;
4930.50; 61; ; 0.650; 0.873; ;[OIII]  ; ;4931.00;b;  1;F
4935.04; 13; ; 0.007; 0.009; ;NI      ; ;4935.03; ;  9;
4939.10; 71; ; 2.280; 3.063; ;[CaVII] ; ;4940.30; ;  1;F
4942.51; 60; ; 1.840; 2.472; ;[FeVII] ; ;4942.30;b;  2;F
4944.30; 75; ; 0.184; 0.247; ;MnII    ; ;4944.33; ;   ;
4947.21; 15; ; 0.029; 0.039; ;[FeII]  ; ;4947.38;c; 20;F
4949.57; 51; ; 0.019; 0.026;e;FeII    ; ;4950.42; ;   ;
4950.58; 16; ; 0.045; 0.056; ;[FeII]  ; ;4950.74;c; 20;F
4952.76; 26; ; 0.006; 0.007; ;CrII    ; ;4952.78; ;   ;
4959.07; 64; ;17.950;22.390; ;[OIII]  ; ;4958.91;b;  1;F
4965.79; 10; ; 0.003; 0.004; ;[FeII]  ; ;4965.78; ;  3;F
4967.53; 48; ; 0.464; 0.579; ;[FeVI]  ; ;4967.14; ;  2;F
4972.79; 59; ; 0.576; 0.719; ;[FeVI]  ; ;4972.47;b;  2;F
4977.31; 71; ; 0.021; 0.028; ;FeII    ; ;4977.39; ;   ;
4980.50; 52; ; 0.008; 0.011; ;OIII    ; ;4980.47; ;   ;
4982.22; 11; ; 0.002; 0.003; ;OII     ; ;4982.17; ;   ;
4988.39; 70; ; 1.490; 1.859; ;[FeVII] ; ;4989.40; ;  2;F
4993.14; 12; ; 0.003; 0.004; ;FeII    ; ;4993.35; ; 36;
4998.10; 48; ; 0.008; 0.010; ;AlII    ; ;4997.95; ;   ;
5007.04; 63; ;31.550;39.360; ;[OIII]  ; ;5006.84; ;  1;F
5011.58; 45; ; 0.126; 0.157; ;[FeIII] ; ;5011.30; ;  1;F
5015.67; 34; ; 0.263; 0.328; ;HeI     ; ;5015.67; ;  4;
5018.33; 15; ; 0.144; 0.180; ;FeII    ; ;5018.43; ; 42;
5020.11; 17; ; 0.069; 0.086; ;[FeII]  ; ;5020.24; ; 20;F
5032.22; 37; ; 0.027; 0.034; ;SII     ; ;5032.41; ;  7;
5033.44; 29; ; 0.058; 0.073; ;CII     ; ;5033.20; ; 17;
5035.13; 12; ; 0.001; 0.002; ;[FeII]  ; ;5035.50; ;  4;F
5040.80; 23; ; 0.064; 0.080; ;NII     ; ;5040.76; ; 19;
5041.83; 32; ; 0.094; 0.117; ;[FeIII] ; ;5041.70; ;   ;
5043.32; 17; ; 0.025; 0.031; ;[FeII]  ; ;5043.53; ; 20;F
5044.92; 13; ; 0.001; 0.001; ;CII     ; ;5044.80; ; 35;
5047.75; 48; ; 0.053; 0.071; ;HeI     ; ;5047.74; ; 47;
5056.10; 37; ; 0.071; 0.088; ;SiII    ; ;5056.02; ;  5;
5060.18; 33; ; 0.054; 0.067; ;[FeIII] ; ;5060.30; ;  1;F
5061.56; 15; ; 0.003; 0.003; ;FeII    ; ;5061.79; ;   ;
5068.99; 63; ; 0.034; 0.042; ;ScII    ; ;5068.86; ;   ;
5072.14; 14; ; 0.017; 0.021; ;[FeII]  ; ;5072.40; ; 19;F
5074.84; 15; ; 0.008; 0.010; ;MnI     ; ;5074.79; ;   ;
5082.79; 11; ; 0.002; 0.002; ;NiII    ; ;5082.78; ;   ;
5082.79; 11; ; 0.002; 0.002; ;[VII]   ; ;5082.81; ;   ;F
5083.46; 13; ; 0.002; 0.003;f;[FeII]  ; ;5083.72; ; 35;F
5084.73; 39; ; 0.021; 0.027; ;[FeIII] ; ;5084.80; ;  1;F
5091.22; 41; ; 0.006; 0.007; ;CrII    ; ;5091.14; ;201;
5094.82; 85; ; 0.053; 0.066; ;FeII    ; ;5094.94; ;   ;
5100.66; 13; ; 0.007; 0.008; ;FeIII   ; ;5100.71; ;   ;
5102.61; 78; ; 0.027; 0.034; ;MnII    ; ;5102.55; ;   ;
5107.78; 14; ; 0.024; 0.030; ;[FeII]  ; ;5107.95; ; 18;F
5110.21;  9; ; 0.002; 0.002; ;CrII    ; ;5110.43; ;199;
5111.40; 15; ; 0.091; 0.114; ;[FeII]  ; ;5111.63; ; 19;F
5118.88; 31; ; 0.015; 0.019; ;[FeV]   ; ;5118.80; ;   ;F
5120.03; 11; ; 0.003; 0.004; ;FeII    ; ;5120.34; ; 35;
5126.49; 12; ; 0.002; 0.003; ;CrII    ; ;5126.47; ;   ;
5128.53; 13; ; 0.003; 0.003; ;MnII    ; ;5128.52; ;   ;
5128.53; 13; ; 0.003; 0.003; ;CrII    ; ;5128.58; ;   ;
5130.71; 25; ; 0.009; 0.012; ;NII     ; ;5130.71; ;   ;
5130.71; 25; ; 0.009; 0.012; ;NiII    ; ;5130.71; ;   ;
5131.66; 15; ; 0.004; 0.005; ;NiV     ; ;5131.65; ;   ;
5132.36; 11; ; 0.009; 0.012; ;VII     ; ;5132.19; ;127;
5140.36; 31; ; 0.027; 0.033; ;MnII    ; ;5140.35; ;   ;
5140.36; 31; ; 0.027; 0.033; ;NiII    ; ;5140.38; ;   ;
5145.94; 52; ; 0.653; 0.815; ;[FeVI]  ; ;5146.80; ;  2;F
5147.58; 10; ; 0.007; 0.008; ;TiI     ; ;5147.48; ;  4;
5150.43; 26; ; 0.006; 0.007; ;FeII    ; ;5150.39; ;   ;
5154.23; 19; ; 0.006; 0.007; ;FeII    ; ;5154.40; ; 35;
5158.48; 51; ; 2.180; 2.719; ;[FeVII] ; ;5158.30; ;  2;F
5162.27; 12; ; 0.006; 0.007; ;NiII    ; ;5161.95; ;   ;
5163.60; 16; ; 0.053; 0.066; ;FeIII   ; ;5163.74; ;  2;
5168.64; 16; ; 0.086; 0.107; ;FeII    ; ;5169.03; ; 42;
5172.19; 27; ; 0.009; 0.011; ;NII     ; ;5172.32; ; 66;
5176.11; 51; ; 1.680; 2.096; ;[FeVI]  ; ;5177.00; ;  2;F
5181.62; 14; ; 0.032; 0.040; ;SiII    ; ;5181.77; ;   ;
5183.30; 13; ; 0.005; 0.007; ;NII     ; ;5183.21; ; 70;
5184.52; 15; ; 0.012; 0.015; ;[FeII]  ; ;5184.80; ; 19;F
5185.64; 14; ; 0.007; 0.008; ;FeIII   ; ;5185.84; ;   ;
5188.49; 11; ; 0.002; 0.003; ;CaI     ; ;5188.85; ; 49;
5191.76; 40; ; 0.055; 0.068; ;[ArIII] ; ;5191.40; ;  3;F
5194.75; 22; ; 0.003; 0.004; ;[FeII]  ; ;5194.82; ;   ;F
5197.37; 12; ; 0.153; 0.191; ;FeII    ; ;5197.57; ; 49;
5198.94; 15; ; 0.015; 0.019; ;[NI]    ; ;5199.35; ;  1;F
5203.20; 45; ; 0.028; 0.035; ;[NI]    ; ;5201.71; ;  1;F
5207.73; 16; ; 0.003; 0.004; ;TiI     ; ;5207.85; ;183;
5219.62; 15; ; 0.078; 0.098; ;ScI     ; ;5219.67; ;   ;
5224.93; 10; ; 0.001; 0.002; ;TiI     ; ;5224.93; ;183;
5226.14;  9; ; 0.001; 0.001;e;[VII]   ; ;5225.90; ;  6;F
5226.79; 14; ; 0.002; 0.003; ;TiII    ; ;5226.53; ; 70;
5228.33;  9; ; 0.006; 0.007; ;[CrII]  ; ;5228.44; ; 13;F
5233.38; 34; ; 0.145; 0.181; ;MnII    ; ;5233.39; ;   ;
5234.29; 14; ; 0.256; 0.319; ;VII     ; ;5234.28; ; 55;
5237.13; 22; ; 0.016; 0.019; ;CrII    ; ;5237.34; ; 43;
5240.43; 16; ; 0.009; 0.011; ;TiII    ; ;5240.39; ;   ;
5247.63; 16; ; 0.003; 0.004; ;[CrII]  ; ;5247.84; ; 13;F
5254.50; 11; ; 0.030; 0.038; ;[VII]   ; ;5254.49; ;  8;F
5256.49; 11; ; 0.005; 0.006; ;FeII    ; ;5256.89; ; 41;
5261.14; 15; ; 0.301; 0.375; ;NIII    ; ;5260.91; ; 15;
5264.30; 12; ; 0.013; 0.016; ;VII     ; ;5264.49; ; 55;
5268.37; 14; ; 0.049; 0.061; ;OIII    ; ;5268.06; ; 19;
5270.26; 46; ; 0.250; 0.312; ;[FeIII] ; ;5270.40; ;  1;F
5272.86; 14; ; 0.169; 0.211; ;FeIII   ; ;5272.86; ;   ;
5276.00; 71; ; 1.800; 2.245; ;[NiII]  ; ;5275.83; ; 14;F
5276.00; 71; ; 1.800; 2.245; ;[FeVII] ; ;5276.10; ;  2;F
5276.00; 71; ; 1.800; 2.245; ;FeIII   ; ;5276.20; ;113;
5282.73; 16; ; 0.014; 0.018; ;[VII]   ; ;5282.88; ;  6;F
5283.74; 12; ; 0.049; 0.061; ;TiI     ; ;5283.44; ;156;
5288.46; 37; ; 0.038; 0.048; ;VII     ; ;5288.31; ;195;
5290.32; 81; ; 0.249; 0.311; ;OIV     ; ;5290.10; ; 11;
5296.47; 15; ; 0.049; 0.061; ;ArII    ; ;5296.48; ;110;
